pilot_unit_id	source_id	dataset_id	unit_kind	opaque_patient_id	opaque_block_id	opaque_section_id	capture_id	platform	modality	resolution	counts_layer	coordinate_system	identity_status	leakage_group_id	member_capture_count	member_set_hash	selection_mode	selection_hash	technical_eligibility	stage1_registry_sha256	r04_manifest_sha256	r04_payload_hash
006_GSE238264::patient::GSE238264::HCC5	006_GSE238264	GSE238264	patient_all_eligible_captures	GSE238264::HCC5				Visium	spatial	spot	h5ad_or_spot_matrix	native_coordinates	explicit_manifest_patient	006::GSE238264::patient::GSE238264::HCC5	1	a5e040230af1a8e48e26bcd9d3cdc41a48ad4cfffb11f529bf2606d005d26eda	stable_hash_of_source_and_patient_key	207b527a8a192d2912ce5de1fc7bbf006ab95c1c31e31c40704e24bf0a717858	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
006_GSE238264::patient::GSE238264::HCC7	006_GSE238264	GSE238264	patient_all_eligible_captures	GSE238264::HCC7				Visium	spatial	spot	h5ad_or_spot_matrix	native_coordinates	explicit_manifest_patient	006::GSE238264::patient::GSE238264::HCC7	1	24115ba38f2b58504fab56eacaf1f07361167f4c2347131744164e49e2d205e7	stable_hash_of_source_and_patient_key	230da37e9394f6c1fa536e826ba683e8ee54ee8d64239dd14f9d414943ccab50	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
006_GSE291246::patient::GSE291246::su001	006_GSE291246	GSE291246	patient_all_eligible_captures	GSE291246::su001				Xenium	spatial	cell	h5ad_or_spot_matrix	native_coordinates	explicit_manifest_patient	006::GSE291246::patient::GSE291246::su001	2	54b78af972652b2402f52a41357d8b8fc4b72d3c746b01361456e4c55c85860e	stable_hash_of_source_and_patient_key	46d6a39e34dd934560072761cc307786542649babdc900bc516516698e589ce2	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
006_GSE291246::patient::GSE291246::su002	006_GSE291246	GSE291246	patient_all_eligible_captures	GSE291246::su002				Xenium	spatial	cell	h5ad_or_spot_matrix	native_coordinates	explicit_manifest_patient	006::GSE291246::patient::GSE291246::su002	3	6062e757c912647e8599cf692cee8488ab4ae30c0ae82bfa5ddd8cc29589f7ee	stable_hash_of_source_and_patient_key	2dc35479378a38513fe52571476849b433242cb4ef2f9065f32169ea4bd492b9	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
013_HTAN_CRC::capture::6723_KL_1	013_HTAN_CRC	HTAN_VANDERBILT_CRC	technical_capture	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc	HTAN::6723_KL_1_filtered_trimmed.h5ad	6723_KL_1	Visium	spatial	Visium	replay_indexed	native_coordinates	E3_explicit	LINEAGE::HTAN_VANDERBILT_CRC	1	1c56cb226a1531a7511741b016847802d021354df6f516a93c71dba7327c35c0	fixed_predeclared_technical_capture	06c16bb0bc9ca41f1112b9983e3dbdc50b1412bc965b177d437f352760452e2e	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
013_HTAN_CRC::capture::7003_AS_1	013_HTAN_CRC	HTAN_VANDERBILT_CRC	technical_capture	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	HTAN::7003_AS_1_filtered_trimmed.h5ad	7003_AS_1	Visium	spatial	Visium	replay_indexed	native_coordinates	E3_explicit	LINEAGE::HTAN_VANDERBILT_CRC	1	8f6756ff8778fb2c18a6e6cbef00a4498ab19c73171ea035d0d348a8143b5eec	fixed_predeclared_technical_capture	491d43780d640d8a746fb17e8e0371f9bcbc0d9f8daceaef5ff49e5ec45b7e9a	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
013_HTAN_CRC::capture::7003_AS_2	013_HTAN_CRC	HTAN_VANDERBILT_CRC	technical_capture	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	HTAN::7003_AS_2_filtered_trimmed.h5ad	7003_AS_2	Visium	spatial	Visium	replay_indexed	native_coordinates	E3_explicit	LINEAGE::HTAN_VANDERBILT_CRC	1	0cc54b1a5f9ce512c8e6e0f0ee28f9fa1c31aa625bc212161e07339cf13ff22c	fixed_predeclared_technical_capture	db09c0171caa9f7280b8031384d8a8aec14af4e17e7f9f10252f92b6a45bd8bb	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
013_HTAN_CRC::capture::7003_AS_3	013_HTAN_CRC	HTAN_VANDERBILT_CRC	technical_capture	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN_VANDERBILT_CRC::BLOCK::32a452c0ae678140	HTAN::7003_AS_3_filtered_trimmed.h5ad	7003_AS_3	Visium	spatial	Visium	replay_indexed	native_coordinates	E3_explicit	LINEAGE::HTAN_VANDERBILT_CRC	1	6289bb409aaf0573f23056b51e1523f288b1bf04c008bcb1c20fb0a3128bf9fa	fixed_predeclared_technical_capture	920a218605d4f12911ac28e8a569e313e8d77f8fda5f546b13e2ca08dd6ea19a	eligible	851c27b8d377b7102b7a24ef5fe45c186b30ddd473a198e088404773909e6c5e	2ab11adc3b15deb68a14a20666cf7eb42df939db05479ff7731603b217bb1e4e	abeaed77bb68ea0aaa1411da020790216718434c6f1b709622677b201aa17d6a
